"","Case.Numbers","Total.Records.by.Case","Project.Name","Net.Units","Block.Lot","Min.Filed","Max.Action","Allowed.Height","Plan.Area","Case.Decision.Date","Case.Decision","Q4.Report.Status","Last.Planning.Suffix","Last.Planning.Action","Days","ER.Complete","ER.Interim","ER.Open","C","V","X","D","BP","R","Total","Diff","Multiple","Cancelled.Planning","Cancelled.BP","In.Current.Planning","BP.Reinstated","BP.Issued","Occupancy.Permit","Planning.Approved","Case...in.Q4.Report","Blocklot.in.Q4.Report","In.Q4.Report","Missing.Data","Case.Year","Filing.Year","Action.Year","Notes","More","Manual.Exclusion","QC.Check.Against.Quarterly","Possible.False.Negative","Reason","Should.Be","Possible.False.Positive","Overriden.Date","unitgrp","hgrp1","hgrp2","M","ydiff","unitgrp2"
"268",2010.0091,1,"590 35th av",1,"1510025","2/11/10 0:00","4/21/11 0:00",40,"FALSE","","CEQA","0","E","ER Complete",434,1,0,0,"FALSE","FALSE","FALSE","FALSE",0,"FALSE",1,0,0,0,0,0,0,0,0,1,0,0,0,0,2010,2010,2011,"","",NA,1,NA,"","",NA,NA,"1","1","1","FALSE",1,"0"
"271",2005.0869,8,"121 golden gate av",93,"349001","9/7/05 0:00","4/17/11 0:00",120,"FALSE","5/22/08","Approved","CONSTRUCTION","V","Approved",2048,0,2,1,"TRUE","TRUE","FALSE","FALSE",2,"FALSE",8,0,0,0,1,0,0,1,0,1,1,1,1,0,2005,2005,2011,"","",NA,0,NA,"","",NA,NA,"3","2","3","FALSE",6,"1"
"273",2010.1044,1,"43 lansing st",320,"3749059","11/18/10 0:00","4/14/11 0:00",400,"TRUE","4/14/11","Approved","CONSTRUCTION","X","Approved",147,0,0,0,"FALSE","FALSE","TRUE","FALSE",0,"FALSE",1,0,0,0,0,0,0,0,0,1,0,1,1,0,2010,2010,2011,"","",NA,0,NA,"","",NA,NA,"3","2","3","FALSE",1,"1"
"275",2010.0611,2,"2724 san bruno av",1,"6048002","7/22/10 0:00","4/5/11 0:00",40,"FALSE","","","BP Filed","E","ER Complete",257,1,0,0,"FALSE","FALSE","FALSE","FALSE",1,"FALSE",2,0,0,0,0,0,0,1,0,1,0,1,1,0,2010,2010,2011,"","",NA,0,NA,"","",NA,NA,"1","1","1","FALSE",1,"0"
"277",2010.0009,1,"940 grove st",3,"798010","1/11/10 0:00","3/16/11 0:00",40,"FALSE","1/3/12","Approved","BP APPROVED","E","ER Complete",429,1,0,0,"FALSE","FALSE","FALSE","FALSE",0,"FALSE",1,0,0,0,0,0,0,0,0,1,1,1,1,0,2010,2010,2011,"","",NA,0,NA,"","",NA,NA,"1","1","1","FALSE",1,"0"
"279",2010.1098,1,"461 hoffman avenue",1,"6503020","12/9/10 0:00","3/15/11 0:00",40,"FALSE","3/15/11","Approved","CONSTRUCTION","V","Approved",96,0,0,0,"FALSE","TRUE","FALSE","FALSE",0,"FALSE",1,0,0,0,0,0,0,0,0,1,1,1,1,0,2010,2010,2011,"","",NA,0,NA,"","",NA,NA,"1","1","1","FALSE",1,"0"
"280",2011.0108,1,"45 lansing st addendum",320,"3749059","2/4/11 0:00","3/9/11 0:00",400,"TRUE","","","CONSTRUCTION","E","ER Complete",33,1,0,0,"FALSE","FALSE","FALSE","FALSE",0,"FALSE",1,0,0,0,0,0,0,0,0,1,0,1,1,0,2011,2011,2011,"","",NA,0,NA,"","",NA,NA,"3","2","3","FALSE",0,"1"
"281",2010.0444,2,"1734 newcomb av",1,"5305010","6/10/10 0:00","3/8/11 0:00",40,"FALSE","3/8/11","Approved","BP Filed","V","Interim",271,0,0,0,"FALSE","TRUE","FALSE","FALSE",1,"FALSE",2,0,0,0,0,0,0,0,0,1,1,1,1,0,2010,2010,2011,"","",NA,0,NA,"","",NA,NA,"1","1","1","FALSE",1,"0"
"282",2010.1108,2,"1354 funston av",1,"1767031","12/13/10 0:00","3/8/11 0:00",40,"FALSE","","CEQA","0","E","ER Complete",85,1,0,0,"FALSE","FALSE","FALSE","FALSE",1,"FALSE",2,0,0,0,0,0,1,0,0,1,0,0,0,0,2010,2010,2011,"","",NA,1,NA,"","",NA,NA,"1","1","1","FALSE",1,"0"
"283",2010.0962,4,"2660 harrison st",3,"3639004A","10/21/10 0:00","3/7/11 0:00",40,"TRUE","","CEQA","0","E","ER Complete",137,1,0,0,"FALSE","FALSE","FALSE","FALSE",3,"FALSE",4,0,0,0,0,0,0,0,3,1,0,0,0,0,2010,2010,2011,"","",NA,0,NA,"","",NA,NA,"1","1","1","FALSE",1,"0"
